app_key,confirmation_date,company,job_title,job_id,rejection_date
US Mobile | AI / ML Engineer | None,2026-04-24T16:21:34Z,US Mobile,AI / ML Engineer,None,
"Questrade Financial Group | AI Scientist, Risk Modelling (Questbank) | None",2026-04-23T11:44:21-04:00,Questrade Financial Group,"AI Scientist, Risk Modelling (Questbank)",None,
Adaptive ML | Forward Deployed AI Engineer | None,2026-04-23T14:19:33Z,Adaptive ML,Forward Deployed AI Engineer,None,
Tripstack | Data Scientist | None,2026-04-23T14:14:35Z,Tripstack,Data Scientist,None,
"HelloFresh | Machine Learning Engineer, Growth | None",2026-04-23T13:51:06Z,HelloFresh,"Machine Learning Engineer, Growth",None,2026-04-27T15:31:42Z
"Wealthsimple | Senior Data Scientist, Finance & Market Risk | None",2026-04-23T13:19:32Z,Wealthsimple,"Senior Data Scientist, Finance & Market Risk",None,2026-05-04T18:50:45Z
"Lyft | Data Scientist - Decisions, Mapping | None",2026-04-21T19:32:14Z,Lyft,"Data Scientist - Decisions, Mapping",None,
Thomson Reuters | Applied Scientist | JREQ198506,2026-04-20T17:01:28+00:00,Thomson Reuters,Applied Scientist,JREQ198506,
Achievers | Data Scientist | None,2026-04-20T16:02:36Z,Achievers,Data Scientist,None,2026-04-21T20:47:34Z
RBC | Senior Machine Learning Research Engineer | R-0000147757,2026-04-20T15:52:08Z,RBC,Senior Machine Learning Research Engineer,R-0000147757,
Nucs AI | Machine Learning Scientist | None,2026-04-20T14:16:47Z,Nucs AI,Machine Learning Scientist,None,
Waabi | Research Scientist | None,2026-04-20T13:46:24Z,Waabi,Research Scientist,None,
"Lyft | Data Science, Decisions - Verticals | None",2026-04-20T13:26:10Z,Lyft,"Data Science, Decisions - Verticals",None,
"Wealthsimple | Staff Data Scientist, Fraud | None",2026-04-16T19:03:58Z,Wealthsimple,"Staff Data Scientist, Fraud",None,2026-04-17T14:25:21+00:00
WPP Media | None | None,2026-04-16T17:43:02+00:00,WPP Media,None,None,
Verily | Staff AI Researcher (Foundation Models) | REQ-572,2026-04-15T15:59:24Z,Verily,Staff AI Researcher (Foundation Models),REQ-572,
Veeva | None | None,2026-04-14T15:10:30Z,Veeva,None,None,
Vanguard | Senior AI/ML Research Engineer | None,2026-04-13T15:30:42-07:00,Vanguard,Senior AI/ML Research Engineer,None,
MSCI | AI Researcher - Emerging Risk | None,2026-04-13T14:46:25-04:00,MSCI,AI Researcher - Emerging Risk,None,
"Visa | Senior Data Scientist, AI/ML– Visa Consulting and Analytics | 62dfb8da-13f9-4a18-8c1f-cb0b73294199",2026-04-13T15:04:24Z,Visa,"Senior Data Scientist, AI/ML– Visa Consulting and Analytics",62dfb8da-13f9-4a18-8c1f-cb0b73294199,
Celestica | Senior Data Scientist | None,2026-04-13T13:46:09Z,Celestica,Senior Data Scientist,None,
"Torc Robotics | ML Engineer, II - Learned Behaviors | None",2026-04-10T19:20:05Z,Torc Robotics,"ML Engineer, II - Learned Behaviors",None,
PointClickCare | Senior Applied Researcher AI/ML ( CAD) | 4381822990,2026-04-10T15:56:50+00:00,PointClickCare,Senior Applied Researcher AI/ML ( CAD),4381822990,
"Cohere | Member of Technical Staff, Data Engineering | None",2026-04-10T18:21:25Z,Cohere,"Member of Technical Staff, Data Engineering",None,
Magnet Forensics | Senior Machine Learning Engineer | None,2026-04-10T17:12:59Z,Magnet Forensics,Senior Machine Learning Engineer,None,
"Scotiabank | Senior Data Scientist - Generative AI, ML & Agentic Systems | None",2026-04-10T16:23:58Z,Scotiabank,"Senior Data Scientist - Generative AI, ML & Agentic Systems",None,
Avenue Code | AI/ML scientist | 4396333141,2026-04-10T16:22:06Z,Avenue Code,AI/ML scientist,4396333141,
Amaris Consulting | Applied AI Scientist Cheminformatics | None,2026-04-10T16:13:48+00:00,Amaris Consulting,Applied AI Scientist Cheminformatics,None,
Open Systems Technologies | Intermediate Generative AI Developer | 4383914794,2026-04-09T19:54:47Z,Open Systems Technologies,Intermediate Generative AI Developer,4383914794,
Wave | None | None,2026-04-09T19:24:10+00:00,Wave,None,None,
Veeva Systems | Data Scientist - Business Consulting | None,2026-04-09T18:16:32+00:00,Veeva Systems,Data Scientist - Business Consulting,None,
Samsara | AI Engineer | None,2026-04-09T17:52:06Z,Samsara,AI Engineer,None,2026-04-11T14:00:17+00:00
Manulife/John Hancock | Senior Data Scientist | 6138a27f2c01900a40d433f2ef6f0000,2026-04-09T17:39:26+00:00,Manulife/John Hancock,Senior Data Scientist,6138a27f2c01900a40d433f2ef6f0000,
Geotab | None | None,2026-04-09T17:26:14Z,Geotab,None,None,
Valsoft Corporation | AI-ML Engineer - Hotel Revenue Optimization | None,2026-04-07T19:48:34+00:00,Valsoft Corporation,AI-ML Engineer - Hotel Revenue Optimization,None,
Valsoft Corporation | AI-ML Engineer - Hotel Revenue Optimization | None,2026-04-07T19:48:33Z,Valsoft Corporation,AI-ML Engineer - Hotel Revenue Optimization,None,
Sprout Social | Applied AI/ML Scientist | None,2026-04-07T18:59:06+00:00,Sprout Social,Applied AI/ML Scientist,None,2026-04-10T21:18:02+00:00
Andiamo | Senior Data Scientist - Medical Software Company | 4380640238,2026-04-07T15:10:18Z,Andiamo,Senior Data Scientist - Medical Software Company,4380640238,
